Date,Open,High,Low,Close,Adj Close,Volume
2023-05-07,0.071705,0.071705,0.068184,0.068683,0.068683,304313236
2023-05-08,0.068674,0.069127,0.069605,0.069620,0.069620,186476114
2023-05-09,0.069608,0.069953,0.064460,0.065903,0.065903,417893686
2023-05-10,0.065903,0.066965,0.065775,0.066704,0.066704,227228290
2023-05-11,0.066708,0.067821,0.065011,0.066674,0.066674,313644951
2023-05-12,0.066681,0.066681,0.063736,0.066059,0.066059,298235456
2023-05-13,0.066051,0.066508,0.063792,0.066235,0.066235,333765594
2023-05-14,0.066236,0.066236,0.065334,0.065625,0.065625,137769637
2023-05-15,0.065625,0.066361,0.065300,0.066328,0.066328,125622373
2023-05-16,0.066323,0.067642,0.065606,0.066259,0.066259,207166476
2023-05-17,0.066261,0.067334,0.065445,0.066935,0.066935,176346939
2023-05-18,0.066935,0.069458,0.066848,0.069120,0.069120,301871669
2023-05-19,0.069111,0.069111,0.066792,0.068256,0.068256,286719665
2023-05-20,0.068245,0.068400,0.067961,0.067964,0.067964,156066696
2023-05-21,0.067977,0.068264,0.067686,0.068103,0.068103,106825035
2023-05-22,0.068099,0.068388,0.066695,0.066656,0.066656,131417179
2023-05-23,0.066658,0.068246,0.065708,0.067524,0.067524,194264751
2023-05-24,0.067525,0.068366,0.067339,0.067658,0.067658,148674452
2023-05-25,0.067661,0.067669,0.065021,0.065766,0.065766,223399641
2023-05-26,0.065765,0.066152,0.064431,0.066093,0.066093,182264551
2023-05-27,0.066095,0.066545,0.065628,0.066146,0.066146,151137325
2023-05-28,0.066145,0.068293,0.066082,0.067729,0.067729,142447839
2023-05-29,0.067728,0.068925,0.067279,0.068661,0.068661,177834076
2023-05-30,0.068663,0.068944,0.067990,0.068355,0.068355,147376818
2023-05-31,0.068353,0.068372,0.067382,0.067428,0.067428,231221705
2023-06-01,0.067429,0.067770,0.066430,0.067013,0.067013,177308047
2023-06-02,0.067015,0.066996,0.066299,0.066441,0.066441,151917233
2023-06-03,0.066439,0.068348,0.066143,0.067776,0.067776,160577000
2023-06-04,0.067775,0.068089,0.067516,0.067831,0.067831,104586714
2023-06-05,0.067832,0.068418,0.067746,0.067750,0.067750,126727631
2023-06-06,0.067754,0.067928,0.060476,0.062152,0.062152,472495617
2023-06-07,0.062148,0.067124,0.061916,0.065777,0.065777,400915558
2023-06-08,0.065776,0.065776,0.062509,0.062855,0.062855,260381380
2023-06-09,0.062857,0.063511,0.062698,0.063035,0.063035,155650253
2023-06-10,0.063033,0.065857,0.062732,0.064647,0.064647,255001860
2023-06-11,0.064647,0.065672,0.054457,0.057526,0.057526,907366681
2023-06-12,0.057526,0.058134,0.057059,0.057290,0.057290,219450356
2023-06-13,0.057282,0.057195,0.056250,0.057106,0.057106,195898012
2023-06-14,0.057106,0.057731,0.056308,0.057206,0.057206,189645817
2023-06-15,0.057206,0.057541,0.054418,0.055690,0.055690,228893519
2023-06-16,0.055691,0.056487,0.055319,0.056189,0.056189,199733861
2023-06-17,0.056189,0.057241,0.055784,0.056681,0.056681,181189310
2023-06-18,0.056685,0.057339,0.056437,0.056786,0.056786,140523967
2023-06-19,0.056782,0.058141,0.056227,0.056807,0.056807,222551016
2023-06-20,0.056808,0.057417,0.056501,0.057070,0.057070,137126489
2023-06-21,0.057072,0.057746,0.055872,0.057733,0.057733,174091570
2023-06-22,0.057733,0.060488,0.057678,0.059775,0.059775,336887578
2023-06-23,0.059769,0.062775,0.059839,0.059917,0.059917,370750194
2023-06-24,0.059915,0.063952,0.060165,0.062451,0.062451,292273283
2023-06-25,0.062457,0.062575,0.060185,0.061139,0.061139,253690862
2023-06-26,0.061136,0.062161,0.060958,0.061217,0.061217,175155899
2023-06-27,0.061207,0.061257,0.058557,0.059349,0.059349,244657314
2023-06-28,0.059348,0.060005,0.059171,0.059817,0.059817,193845258
2023-06-29,0.059821,0.059834,0.056413,0.057346,0.057346,251697649
2023-06-30,0.057339,0.058540,0.057417,0.058345,0.058345,177037058
2023-07-01,0.058341,0.061111,0.057407,0.060898,0.060898,448031896
2023-07-02,0.060900,0.064847,0.060888,0.062730,0.062730,581733619
2023-07-03,0.062730,0.063088,0.061085,0.062376,0.062376,342915277
2023-07-04,0.062380,0.062956,0.061743,0.062633,0.062633,243250782
